Time,Bytes Sent,Bytes Received,ID,Type
1533900794,0.0,0.0,f2b755273e214a2182728b5aac48a910-client-test,client
1533900795,0.0,0.0,f2b755273e214a2182728b5aac48a910-client-test,client
1533900796,0.0,0.0,f2b755273e214a2182728b5aac48a910-client-test,client
1533900797,0.0,0.0,f2b755273e214a2182728b5aac48a910-client-test,client
1533900798,0.0,0.0,f2b755273e214a2182728b5aac48a910-client-test,client
1533900799,0.0,0.0,f2b755273e214a2182728b5aac48a910-client-test,client
1533900800,0.0,0.0,f2b755273e214a2182728b5aac48a910-client-test,client
1533900801,0.0,0.0,f2b755273e214a2182728b5aac48a910-client-test,client
1533900802,0.0,0.0,f2b755273e214a2182728b5aac48a910-client-test,client
1533900803,0.0,0.0,f2b755273e214a2182728b5aac48a910-client-test,client
1533900804,0.0,0.0,f2b755273e214a2182728b5aac48a910-client-test,client
1533900805,0.0,0.0,f2b755273e214a2182728b5aac48a910-client-test,client
1533900806,0.0,0.0,f2b755273e214a2182728b5aac48a910-client-test,client
1533900807,0.0,0.0,f2b755273e214a2182728b5aac48a910-client-test,client
1533900808,0.0,0.0,f2b755273e214a2182728b5aac48a910-client-test,client
1533900809,0.0,0.0,f2b755273e214a2182728b5aac48a910-client-test,client
1533900810,0.05,2.78,f2b755273e214a2182728b5aac48a910-client-test,client
1533900811,0.08,19.36,f2b755273e214a2182728b5aac48a910-client-test,client
1533900812,1.62,55.68,f2b755273e214a2182728b5aac48a910-client-test,client
1533900813,0.6,51.57,f2b755273e214a2182728b5aac48a910-client-test,client
1533900814,1.9,57.94,f2b755273e214a2182728b5aac48a910-client-test,client
1533900815,0.7,16.12,f2b755273e214a2182728b5aac48a910-client-test,client
1533900816,0.78,40.52,f2b755273e214a2182728b5aac48a910-client-test,client
1533900817,0.62,49.09,f2b755273e214a2182728b5aac48a910-client-test,client
1533900818,0.66,53.3,f2b755273e214a2182728b5aac48a910-client-test,client
1533900819,0.7,48.53,f2b755273e214a2182728b5aac48a910-client-test,client
1533900820,0.51,48.02,f2b755273e214a2182728b5aac48a910-client-test,client
1533900821,1.14,52.84,f2b755273e214a2182728b5aac48a910-client-test,client
1533900822,0.69,55.48,f2b755273e214a2182728b5aac48a910-client-test,client
1533900823,1.04,63.94,f2b755273e214a2182728b5aac48a910-client-test,client
1533900824,0.98,54.06,f2b755273e214a2182728b5aac48a910-client-test,client
1533900825,1.04,61.77,f2b755273e214a2182728b5aac48a910-client-test,client
1533900826,0.55,56.74,f2b755273e214a2182728b5aac48a910-client-test,client
1533900827,0.93,50.21,f2b755273e214a2182728b5aac48a910-client-test,client
1533900828,0.89,57.74,f2b755273e214a2182728b5aac48a910-client-test,client
1533900829,0.8,44.9,f2b755273e214a2182728b5aac48a910-client-test,client
1533900830,1.57,32.67,f2b755273e214a2182728b5aac48a910-client-test,client
1533900831,0.28,19.26,f2b755273e214a2182728b5aac48a910-client-test,client
1533900832,2.21,52.84,f2b755273e214a2182728b5aac48a910-client-test,client
1533900833,0.84,51.47,f2b755273e214a2182728b5aac48a910-client-test,client
1533900834,0.96,44.8,f2b755273e214a2182728b5aac48a910-client-test,client
1533900835,0.45,18.72,f2b755273e214a2182728b5aac48a910-client-test,client
1533900836,0.32,45.78,f2b755273e214a2182728b5aac48a910-client-test,client
1533900837,1.66,52.3,f2b755273e214a2182728b5aac48a910-client-test,client
1533900838,0.6,57.18,f2b755273e214a2182728b5aac48a910-client-test,client
1533900839,0.55,64.97,f2b755273e214a2182728b5aac48a910-client-test,client
1533900840,1.4,50.06,f2b755273e214a2182728b5aac48a910-client-test,client
1533900841,0.6,49.71,f2b755273e214a2182728b5aac48a910-client-test,client
1533900842,1.87,54.6,f2b755273e214a2182728b5aac48a910-client-test,client
1533900843,0.85,45.56,f2b755273e214a2182728b5aac48a910-client-test,client
1533900844,0.68,48.91,f2b755273e214a2182728b5aac48a910-client-test,client
1533900845,0.43,65.66,f2b755273e214a2182728b5aac48a910-client-test,client
1533900846,0.33,53.61,f2b755273e214a2182728b5aac48a910-client-test,client
1533900847,0.99,58.97,f2b755273e214a2182728b5aac48a910-client-test,client
1533900848,1.25,49.63,f2b755273e214a2182728b5aac48a910-client-test,client
1533900849,0.76,61.51,f2b755273e214a2182728b5aac48a910-client-test,client
1533900850,0.68,26.83,f2b755273e214a2182728b5aac48a910-client-test,client
1533900851,1.27,55.34,f2b755273e214a2182728b5aac48a910-client-test,client
1533900852,2.17,54.66,f2b755273e214a2182728b5aac48a910-client-test,client
1533900853,1.35,61.46,f2b755273e214a2182728b5aac48a910-client-test,client
1533900854,0.49,34.18,f2b755273e214a2182728b5aac48a910-client-test,client
1533900855,0.52,47.03,f2b755273e214a2182728b5aac48a910-client-test,client
1533900856,1.23,51.42,f2b755273e214a2182728b5aac48a910-client-test,client
1533900857,1.96,56.92,f2b755273e214a2182728b5aac48a910-client-test,client
1533900858,0.39,38.33,f2b755273e214a2182728b5aac48a910-client-test,client
1533900859,0.53,56.73,f2b755273e214a2182728b5aac48a910-client-test,client
1533900860,0.8,51.58,f2b755273e214a2182728b5aac48a910-client-test,client
1533900861,0.55,41.96,f2b755273e214a2182728b5aac48a910-client-test,client
1533900862,1.24,36.08,f2b755273e214a2182728b5aac48a910-client-test,client
1533900863,1.34,44.6,f2b755273e214a2182728b5aac48a910-client-test,client
1533900864,0.66,61.82,f2b755273e214a2182728b5aac48a910-client-test,client
1533900865,0.86,54.24,f2b755273e214a2182728b5aac48a910-client-test,client
1533900866,1.34,54.79,f2b755273e214a2182728b5aac48a910-client-test,client
1533900867,0.45,50.96,f2b755273e214a2182728b5aac48a910-client-test,client
1533900868,0.64,52.32,f2b755273e214a2182728b5aac48a910-client-test,client
1533900869,0.29,43.17,f2b755273e214a2182728b5aac48a910-client-test,client
1533900870,0.88,49.16,f2b755273e214a2182728b5aac48a910-client-test,client
1533900871,1.45,49.37,f2b755273e214a2182728b5aac48a910-client-test,client
1533900872,0.34,32.32,f2b755273e214a2182728b5aac48a910-client-test,client
1533900873,0.5,51.9,f2b755273e214a2182728b5aac48a910-client-test,client
1533900874,0.67,57.57,f2b755273e214a2182728b5aac48a910-client-test,client
1533900875,0.42,43.75,f2b755273e214a2182728b5aac48a910-client-test,client
1533900876,0.87,56.9,f2b755273e214a2182728b5aac48a910-client-test,client
1533900877,0.62,60.84,f2b755273e214a2182728b5aac48a910-client-test,client
1533900878,0.25,55.78,f2b755273e214a2182728b5aac48a910-client-test,client
1533900879,0.78,54.3,f2b755273e214a2182728b5aac48a910-client-test,client
1533900880,0.34,57.24,f2b755273e214a2182728b5aac48a910-client-test,client
1533900881,0.32,37.13,f2b755273e214a2182728b5aac48a910-client-test,client
1533900882,0.39,48.87,f2b755273e214a2182728b5aac48a910-client-test,client
1533900883,0.7,47.99,f2b755273e214a2182728b5aac48a910-client-test,client
1533900884,1.65,43.6,f2b755273e214a2182728b5aac48a910-client-test,client
1533900885,0.58,39.04,f2b755273e214a2182728b5aac48a910-client-test,client
1533900886,0.21,63.77,f2b755273e214a2182728b5aac48a910-client-test,client
1533900887,1.02,63.18,f2b755273e214a2182728b5aac48a910-client-test,client
1533900888,0.66,47.62,f2b755273e214a2182728b5aac48a910-client-test,client
1533900889,0.37,61.2,f2b755273e214a2182728b5aac48a910-client-test,client
1533900890,0.26,52.71,f2b755273e214a2182728b5aac48a910-client-test,client
1533900891,1.49,52.5,f2b755273e214a2182728b5aac48a910-client-test,client
1533900892,1.3,56.29,f2b755273e214a2182728b5aac48a910-client-test,client
1533900893,1.75,45.5,f2b755273e214a2182728b5aac48a910-client-test,client
1533900894,1.54,60.9,f2b755273e214a2182728b5aac48a910-client-test,client
1533900895,1.12,48.72,f2b755273e214a2182728b5aac48a910-client-test,client
1533900896,0.51,51.75,f2b755273e214a2182728b5aac48a910-client-test,client
1533900897,1.19,49.75,f2b755273e214a2182728b5aac48a910-client-test,client
1533900898,1.15,48.99,f2b755273e214a2182728b5aac48a910-client-test,client
1533900899,1.3,49.2,f2b755273e214a2182728b5aac48a910-client-test,client
1533900900,1.19,51.71,f2b755273e214a2182728b5aac48a910-client-test,client
1533900901,1.71,46.78,f2b755273e214a2182728b5aac48a910-client-test,client
1533900902,0.14,32.37,f2b755273e214a2182728b5aac48a910-client-test,client
1533900903,1.09,48.62,f2b755273e214a2182728b5aac48a910-client-test,client
1533900904,2.5,49.32,f2b755273e214a2182728b5aac48a910-client-test,client
1533900905,1.6,50.08,f2b755273e214a2182728b5aac48a910-client-test,client
1533900906,0.0,0.0,f2b755273e214a2182728b5aac48a910-client-test,client
1533900907,0.51,48.84,f2b755273e214a2182728b5aac48a910-client-test,client
1533900908,0.63,49.15,f2b755273e214a2182728b5aac48a910-client-test,client
1533900909,0.57,48.88,f2b755273e214a2182728b5aac48a910-client-test,client
1533900910,1.96,44.16,f2b755273e214a2182728b5aac48a910-client-test,client
1533900911,0.77,54.67,f2b755273e214a2182728b5aac48a910-client-test,client
1533900912,0.53,48.16,f2b755273e214a2182728b5aac48a910-client-test,client
1533900913,0.58,24.52,f2b755273e214a2182728b5aac48a910-client-test,client
1533900914,0.36,57.4,f2b755273e214a2182728b5aac48a910-client-test,client
1533900915,0.41,39.04,f2b755273e214a2182728b5aac48a910-client-test,client
1533900916,1.68,48.12,f2b755273e214a2182728b5aac48a910-client-test,client
1533900917,0.68,50.13,f2b755273e214a2182728b5aac48a910-client-test,client
1533900918,0.51,48.89,f2b755273e214a2182728b5aac48a910-client-test,client
1533900919,0.34,49.95,f2b755273e214a2182728b5aac48a910-client-test,client
1533900920,1.33,59.17,f2b755273e214a2182728b5aac48a910-client-test,client
1533900921,1.2,43.72,f2b755273e214a2182728b5aac48a910-client-test,client
1533900922,0.98,62.33,f2b755273e214a2182728b5aac48a910-client-test,client
1533900923,1.3,55.66,f2b755273e214a2182728b5aac48a910-client-test,client
1533900924,0.71,55.88,f2b755273e214a2182728b5aac48a910-client-test,client
