Time,Bytes Sent,Bytes Received,ID,Type
1533814896,0.0,0.0,0e3785f910624d1485af96722cb4a893-client-test,client
1533814897,0.0,0.0,0e3785f910624d1485af96722cb4a893-client-test,client
1533814898,0.0,0.0,0e3785f910624d1485af96722cb4a893-client-test,client
1533814899,0.0,0.0,0e3785f910624d1485af96722cb4a893-client-test,client
1533814900,0.0,0.0,0e3785f910624d1485af96722cb4a893-client-test,client
1533814901,0.0,0.0,0e3785f910624d1485af96722cb4a893-client-test,client
1533814902,0.0,0.0,0e3785f910624d1485af96722cb4a893-client-test,client
1533814903,0.0,0.0,0e3785f910624d1485af96722cb4a893-client-test,client
1533814904,0.0,0.0,0e3785f910624d1485af96722cb4a893-client-test,client
1533814905,0.0,0.0,0e3785f910624d1485af96722cb4a893-client-test,client
1533814906,0.0,0.0,0e3785f910624d1485af96722cb4a893-client-test,client
1533814907,0.0,0.0,0e3785f910624d1485af96722cb4a893-client-test,client
1533814908,0.0,0.0,0e3785f910624d1485af96722cb4a893-client-test,client
1533814909,0.97,621.62,0e3785f910624d1485af96722cb4a893-client-test,client
1533814910,1.5,1010.43,0e3785f910624d1485af96722cb4a893-client-test,client
1533814911,1.5,1005.0,0e3785f910624d1485af96722cb4a893-client-test,client
1533814912,1.52,1015.0,0e3785f910624d1485af96722cb4a893-client-test,client
1533814913,1.37,920.63,0e3785f910624d1485af96722cb4a893-client-test,client
1533814914,1.56,1044.98,0e3785f910624d1485af96722cb4a893-client-test,client
1533814915,1.52,1021.89,0e3785f910624d1485af96722cb4a893-client-test,client
1533814916,1.58,1059.16,0e3785f910624d1485af96722cb4a893-client-test,client
1533814917,1.61,1080.54,0e3785f910624d1485af96722cb4a893-client-test,client
1533814918,1.61,1080.01,0e3785f910624d1485af96722cb4a893-client-test,client
1533814919,1.55,1038.81,0e3785f910624d1485af96722cb4a893-client-test,client
1533814920,1.53,1028.59,0e3785f910624d1485af96722cb4a893-client-test,client
1533814921,1.57,1057.07,0e3785f910624d1485af96722cb4a893-client-test,client
1533814922,1.54,1029.67,0e3785f910624d1485af96722cb4a893-client-test,client
1533814923,1.59,1066.68,0e3785f910624d1485af96722cb4a893-client-test,client
1533814924,1.61,1079.75,0e3785f910624d1485af96722cb4a893-client-test,client
1533814925,1.61,1080.29,0e3785f910624d1485af96722cb4a893-client-test,client
1533814926,1.37,918.14,0e3785f910624d1485af96722cb4a893-client-test,client
1533814927,0.0,0.0,0e3785f910624d1485af96722cb4a893-client-test,client
1533814928,0.0,0.0,0e3785f910624d1485af96722cb4a893-client-test,client
1533814929,0.0,0.0,0e3785f910624d1485af96722cb4a893-client-test,client
1533814930,0.0,0.0,0e3785f910624d1485af96722cb4a893-client-test,client
1533814931,0.0,0.0,0e3785f910624d1485af96722cb4a893-client-test,client
