Time,Bytes Sent,Bytes Received,ID,Type
1533814890,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814891,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814892,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814893,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814894,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814895,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814896,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814897,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814898,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814899,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814900,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814901,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814902,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814903,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814904,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814905,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814906,0.01,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814907,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814908,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814909,873.7,1.34,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814910,1008.07,1.5,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814911,1008.28,1.5,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814912,989.6,1.48,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814913,963.82,1.43,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814914,1027.62,1.54,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814915,1021.62,1.52,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814916,1074.65,1.6,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814917,1080.51,1.61,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814918,1072.06,1.61,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814919,1028.33,1.53,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814920,1044.94,1.56,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814921,1041.2,1.55,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814922,1032.6,1.54,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814923,1077.67,1.6,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814924,1080.14,1.61,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814925,1080.19,1.61,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814926,646.03,0.97,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814927,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814928,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814929,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814930,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814931,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533814932,0.0,0.0,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
